Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Country,United States,,,,2022-08-31,10.7
Msa,"Akron, OH",OH,,,2022-08-31,10.3
Msa,"Albany, NY",NY,,,2022-08-31,9.5
Msa,"Albuquerque, NM",NM,,,2022-08-31,13.6
Msa,"Allentown, PA",PA,,,2022-08-31,12.9
Msa,"Atlanta, GA",GA,,,2022-08-31,15.0
Msa,"Augusta, GA",GA,,,2022-08-31,10.9
Msa,"Austin, TX",TX,,,2022-08-31,19.8
Msa,"Bakersfield, CA",CA,,,2022-08-31,14.7
Msa,"Baltimore, MD",MD,,,2022-08-31,8.0
Msa,"Baton Rouge, LA",LA,,,2022-08-31,5.2
Msa,"Birmingham, AL",AL,,,2022-08-31,10.4
Msa,"Boise City, ID",ID,,,2022-08-31,21.1
Msa,"Boston, MA",MA,,,2022-08-31,8.4
Msa,"Buffalo, NY",NY,,,2022-08-31,12.9
Msa,"Charleston, SC",SC,,,2022-08-31,16.1
Msa,"Charlotte, NC",NC,,,2022-08-31,15.3
Msa,"Chicago, IL",IL,,,2022-08-31,7.9
Msa,"Cincinnati, OH",OH,,,2022-08-31,11.4
Msa,"Cleveland, OH",OH,,,2022-08-31,12.0
Msa,"Colorado Springs, CO",CO,,,2022-08-31,15.6
Msa,"Columbia, SC",SC,,,2022-08-31,10.5
Msa,"Columbus, OH",OH,,,2022-08-31,11.0
Msa,"Dallas-Fort Worth, TX",TX,,,2022-08-31,21.3
Msa,"Dayton, OH",OH,,,2022-08-31,12.3
Msa,"Daytona Beach, FL",FL,,,2022-08-31,17.5
Msa,"Denver, CO",CO,,,2022-08-31,17.0
Msa,"Des Moines, IA",IA,,,2022-08-31,7.4
Msa,"Detroit, MI",MI,,,2022-08-31,10.3
Msa,"El Paso, TX",TX,,,2022-08-31,16.5
Msa,"Fort Collins, CO",CO,,,2022-08-31,10.0
Msa,"Fort Myers, FL",FL,,,2022-08-31,72.2
Msa,"Fresno, CA",CA,,,2022-08-31,14.1
Msa,"Grand Rapids, MI",MI,,,2022-08-31,11.3
Msa,"Greensboro, NC",NC,,,2022-08-31,20.4
Msa,"Greenville, SC",SC,,,2022-08-31,9.5
Msa,"Harrisburg, PA",PA,,,2022-08-31,9.2
Msa,"Hartford, CT",CT,,,2022-08-31,12.8
Msa,"Houston, TX",TX,,,2022-08-31,10.8
Msa,"Indianapolis, IN",IN,,,2022-08-31,11.6
Msa,"Jackson, MS",MS,,,2022-08-31,10.1
Msa,"Jacksonville, FL",FL,,,2022-08-31,17.3
Msa,"Kansas City, MO",MO,,,2022-08-31,10.0
Msa,"Knoxville, TN",TN,,,2022-08-31,14.9
Msa,"Lakeland, FL",FL,,,2022-08-31,16.1
Msa,"Las Vegas, NV",NV,,,2022-08-31,13.1
Msa,"Little Rock, AR",AR,,,2022-08-31,7.7
Msa,"Los Angeles-Long Beach-Anaheim, CA",CA,,,2022-08-31,11.6
Msa,"Louisville-Jefferson County, KY",KY,,,2022-08-31,8.9
Msa,"Madison, WI",WI,,,2022-08-31,8.8
Msa,"McAllen, TX",TX,,,2022-08-31,9.6
Msa,"Memphis, TN",TN,,,2022-08-31,11.8
Msa,"Miami-Fort Lauderdale, FL",FL,,,2022-08-31,12.5
Msa,"Milwaukee, WI",WI,,,2022-08-31,9.6
Msa,"Minneapolis-St Paul, MN",MN,,,2022-08-31,9.0
Msa,"Nashville, TN",TN,,,2022-08-31,16.0
Msa,"New Haven, CT",CT,,,2022-08-31,13.1
Msa,"New Orleans, LA",LA,,,2022-08-31,9.0
Msa,"New York, NY",NY,,,2022-08-31,7.4
Msa,"North Port-Sarasota-Bradenton, FL",FL,,,2022-08-31,42.4
Msa,"Ogden, UT",UT,,,2022-08-31,15.2
Msa,"Oklahoma City, OK",OK,,,2022-08-31,9.4
Msa,"Omaha, NE",NE,,,2022-08-31,9.7
Msa,"Orlando, FL",FL,,,2022-08-31,10.1
Msa,"Philadelphia, PA",PA,,,2022-08-31,10.4
Msa,"Phoenix, AZ",AZ,,,2022-08-31,20.8
Msa,"Pittsburgh, PA",PA,,,2022-08-31,10.5
Msa,"Portland, OR",OR,,,2022-08-31,12.5
Msa,"Providence, RI",RI,,,2022-08-31,13.7
Msa,"Provo, UT",UT,,,2022-08-31,16.9
Msa,"Raleigh, NC",NC,,,2022-08-31,31.4
Msa,"Richmond, VA",VA,,,2022-08-31,9.0
Msa,"Riverside, CA",CA,,,2022-08-31,15.9
Msa,"Rochester, NY",NY,,,2022-08-31,11.6
Msa,"Sacramento, CA",CA,,,2022-08-31,14.1
Msa,"Salt Lake City, UT",UT,,,2022-08-31,14.3
Msa,"San Antonio, TX",TX,,,2022-08-31,12.7
Msa,"San Diego, CA",CA,,,2022-08-31,19.1
Msa,"San Francisco, CA",CA,,,2022-08-31,7.2
Msa,"San Jose, CA",CA,,,2022-08-31,4.5
Msa,"Seattle, WA",WA,,,2022-08-31,11.3
Msa,"Springfield, MA",MA,,,2022-08-31,11.2
Msa,"St. Louis, MO",MO,,,2022-08-31,10.3
Msa,"Stamford, CT",CT,,,2022-08-31,12.2
Msa,"Stockton, CA",CA,,,2022-08-31,13.2
Msa,"Syracuse, NY",NY,,,2022-08-31,9.2
Msa,"Tampa, FL",FL,,,2022-08-31,22.1
Msa,"Toledo, OH",OH,,,2022-08-31,10.3
Msa,"Tucson, AZ",AZ,,,2022-08-31,17.1
Msa,"Tulsa, OK",OK,,,2022-08-31,10.4
Msa,"Urban Honolulu, HI",HI,,,2022-08-31,7.7
Msa,"Ventura, CA",CA,,,2022-08-31,14.9
Msa,"Virginia Beach, VA",VA,,,2022-08-31,9.3
Msa,"Washington, DC",DC,,,2022-08-31,8.4
Msa,"Wichita, KS",KS,,,2022-08-31,9.8
Msa,"Winston-Salem, NC",NC,,,2022-08-31,28.4
Msa,"Worcester, MA",MA,,,2022-08-31,13.4
Zip,27013,NC,Rowan County,Cleveland,2022-08-31,13.2
Zip,27054,NC,Rowan County,Woodleaf,2022-08-31,11.9
Zip,27502,NC,Wake County,Apex,2022-08-31,30.4
Zip,27504,NC,Johnston County,Benson,2022-08-31,27.9
Zip,27508,NC,Franklin County,Bunn,2022-08-31,27.8
Zip,27511,NC,Wake County,Cary,2022-08-31,31.1
Zip,27513,NC,Wake County,Cary,2022-08-31,30.9
Zip,27518,NC,Wake County,Cary,2022-08-31,30.6
Zip,27519,NC,Wake County,Cary,2022-08-31,29.5
Zip,27520,NC,Johnston County,Clayton,2022-08-31,28.4
Zip,27523,NC,Wake County,Apex,2022-08-31,30.3
Zip,27524,NC,Johnston County,Four Oaks,2022-08-31,27.3
Zip,27525,NC,Franklin County,Franklinton,2022-08-31,29.7
Zip,27526,NC,Wake County,Fuquay Varina,2022-08-31,30.3
Zip,27527,NC,Johnston County,Clayton,2022-08-31,27.9
Zip,27529,NC,Wake County,Garner,2022-08-31,30.8
Zip,27539,NC,Wake County,Apex,2022-08-31,30.3
Zip,27540,NC,Wake County,Holly Springs,2022-08-31,30.8
Zip,27542,NC,Johnston County,Kenly,2022-08-31,26.8
Zip,27545,NC,Wake County,Knightdale,2022-08-31,31.7
Zip,27549,NC,Franklin County,Louisburg,2022-08-31,27.9
Zip,27555,NC,Johnston County,Micro,2022-08-31,28.6
Zip,27560,NC,Wake County,Morrisville,2022-08-31,30.4
Zip,27562,NC,Wake County,New Hill,2022-08-31,29.9
Zip,27568,NC,Johnston County,Pine Level,2022-08-31,29.0
Zip,27569,NC,Johnston County,Princeton,2022-08-31,26.7
Zip,27571,NC,Wake County,Rolesville,2022-08-31,30.2
Zip,27576,NC,Johnston County,Selma,2022-08-31,28.9
Zip,27577,NC,Johnston County,Smithfield,2022-08-31,28.3
Zip,27587,NC,Wake County,Wake Forest,2022-08-31,30.3
Zip,27591,NC,Wake County,Wendell,2022-08-31,31.5
Zip,27592,NC,Wake County,Willow Spring,2022-08-31,30.3
Zip,27596,NC,Franklin County,Youngsville,2022-08-31,29.1
Zip,27597,NC,Wake County,Zebulon,2022-08-31,30.6
Zip,27601,NC,Wake County,Raleigh,2022-08-31,29.2
Zip,27603,NC,Wake County,Raleigh,2022-08-31,31.1
Zip,27604,NC,Wake County,Raleigh,2022-08-31,32.3
Zip,27605,NC,Wake County,Raleigh,2022-08-31,27.8
Zip,27606,NC,Wake County,Raleigh,2022-08-31,30.3
Zip,27607,NC,Wake County,Raleigh,2022-08-31,30.1
Zip,27608,NC,Wake County,Raleigh,2022-08-31,28.7
Zip,27609,NC,Wake County,Raleigh,2022-08-31,30.5
Zip,27610,NC,Wake County,Raleigh,2022-08-31,33.2
Zip,27612,NC,Wake County,Raleigh,2022-08-31,29.7
Zip,27613,NC,Wake County,Raleigh,2022-08-31,29.9
Zip,27614,NC,Wake County,Raleigh,2022-08-31,29.6
Zip,27615,NC,Wake County,Raleigh,2022-08-31,30.2
Zip,27616,NC,Wake County,Raleigh,2022-08-31,31.7
Zip,27617,NC,Wake County,Raleigh,2022-08-31,29.1
Zip,27816,NC,Nash County,Castalia,2022-08-31,24.8
Zip,28006,NC,Gaston County,Alexis,2022-08-31,13.3
Zip,28012,NC,Gaston County,Belmont,2022-08-31,13.7
Zip,28016,NC,Gaston County,Bessemer City,2022-08-31,15.1
Zip,28021,NC,Gaston County,Cherryville,2022-08-31,14.6
Zip,28023,NC,Rowan County,China Grove,2022-08-31,13.8
Zip,28025,NC,Cabarrus County,Concord,2022-08-31,14.3
